"Unique.ID","Grantor","Grantee","Program","Year","Date","EndDate","Amount","AmendmentNumber","Funding.Agency","Funding.Source","Category","Location","Issued","Funding.Type","Years","Average.By.Year","City.Year","Population","Amount.Per.Capita","Amount.Per.PEH","Population.PEH","ExpenditureType"
"","City of Imperial Beach","","",2022,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2022","","$0.00","$0.00","0","Other/Unknown"
"","City of Imperial Beach","","",2021,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2021","","$0.00","$0.00","0","Other/Unknown"
"","City of Imperial Beach","","",2020,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2020","","$0.00","$0.00","16","Other/Unknown"
"","City of Imperial Beach","","",2019,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2019","","$0.00","$0.00","12","Other/Unknown"
"","City of Imperial Beach","","",2018,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2018","","$0.00","$0.00","7","Other/Unknown"
"","City of Imperial Beach","","",2017,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2017","","$0.00","$0.00","22","Other/Unknown"
"","City of Imperial Beach","","",2016,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2016","","$0.00","$0.00","12","Other/Unknown"
"","City of Imperial Beach","","",2015,"","","0","","","","#N/A","","","",NA,"","City of Imperial Beach|2015","","$0.00","$0.00","46","Other/Unknown"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2017,"10/23/2017","","$14,142.74","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.05","$38.54","367","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2017,"10/23/2017","","$12,931.10","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.05","$35.23","367","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2017,"10/23/2017","","$10,285.61","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.04","$28.03","367","Prevention"
"1068","City of Chula Vista","SBCS CORPORATION","Homeless Services",2017,"11/7/2017","","$276.00","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2017","266427","$0.00","$0.75","367","Crisis Management"
"1067","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2017,"11/8/2017","","$1,971.50","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.01","$5.37","367","Crisis Management"
"1066","City of Chula Vista","SBCS CORPORATION","Hotel/Motel Voucher",2017,"11/22/2017","","$1,835.85","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.01","$5.00","367","Crisis Management"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2017,"12/8/2017","","$12,461.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.05","$33.95","367","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2017,"12/27/2017","","$9,575.31","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2017","266427","$0.04","$26.09","367","Prevention"
"1067","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2018,"1/23/2018","","$2,351.52","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$12.78","184","Crisis Management"
"1066","City of Chula Vista","SBCS CORPORATION","Hotel/Motel Voucher",2018,"1/25/2018","","$2,385.63","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$12.97","184","Crisis Management"
"1068","City of Chula Vista","SBCS CORPORATION","Homeless Services",2018,"1/25/2018","","$8,385.00","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$45.57","184","Crisis Management"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"3/29/2018","","$5,127.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$27.86","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"3/29/2018","","$44,219.26","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.16","$240.32","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"4/2/2018","","$8,328.54","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$45.26","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"4/2/2018","","$6,427.86","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$34.93","184","Diversion"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"4/13/2018","","$3,830.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$20.82","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"4/13/2018","","$4,715.02","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$25.63","184","Diversion"
"1066","City of Chula Vista","SBCS CORPORATION","Hotel/Motel Voucher",2018,"5/4/2018","","$8,750.60","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$47.56","184","Crisis Management"
"1068","City of Chula Vista","SBCS CORPORATION","Homeless Services",2018,"5/4/2018","","$16,825.00","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2018","268588","$0.06","$91.44","184","Crisis Management"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"5/17/2018","","$3,583.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$19.47","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"5/17/2018","","$2,632.75","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$14.31","184","Diversion"
"1067","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2018,"5/21/2018","","$4,218.84","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$22.93","184","Crisis Management"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"6/18/2018","","$5,043.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$27.41","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"6/18/2018","","$3,286.57","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$17.86","184","Diversion"
"1067","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2018,"6/19/2018","","$2,458.14","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$13.36","184","Crisis Management"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$7,335.40","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$39.87","184","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$5,449.60","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$29.62","184","Prevention"
