"Organization","EIN","UEI","Federal.grantor","Federal.CFDA.Number","Contract.Number","Passed.through.to.subrecipients","Federal.Expenditures","Direct.Pass.Program","Grantor","Program.Title","Type.of.Program","Funding.Source","Amount.Per.San.Diegan","Amount.Per.PEH","Combined","Category","Year","X","X.1","X.2","X.3","X.4","X.5","ExpenditureType"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","93.959","46151","0","442,097","Pass Through","County of San Diego","None","Block Grants for Prevention and Treatment of Substance Abuse","Federal","$0.13","#N/A","None|Block Grants for Prevention and Treatment of Substance Abuse","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","93.959","46151","0","442,097","Pass Through","County of San Diego","None","Block Grants for Prevention and Treatment of Substance Abuse","Federal","$0.13","#N/A","None|Block Grants for Prevention and Treatment of Substance Abuse","#N/A",2017,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","93.959","46151","0","442,097","Pass Through","County of San Diego","None","Block Grants for Prevention and Treatment of Substance Abuse","Federal","$0.13","#N/A","None|Block Grants for Prevention and Treatment of Substance Abuse","#N/A",2018,NA,NA,NA,NA,NA,"U.S. Department of Health and Human Services","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","93.959","553468","0","1,265,119","Pass-Through","County of San Diego","None","Block Grants for Prevention and Treatment of Substance Abuse","Federal","$0.38","#N/A","None|Block Grants for Prevention and Treatment of Substance Abuse","#N/A",2020,NA,NA,NA,NA,NA,"U.S. Department of Treasury","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","93.959","553468","0","1,654,866","Pass-Through","County of San Diego","None","Block Grants for Prevention and Treatment of Substance Abuse","Federal","$0.50","#N/A","None|Block Grants for Prevention and Treatment of Substance Abuse","#N/A",2021,NA,NA,NA,NA,NA,"U.S. Department of Housing and Urban Development","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Treasury","21.019","553468","0","27,018","Pass-Through","County of San Diego","None","Coronavirus Relief Fund","Federal","$0.01","#N/A","None|Coronavirus Relief Fund","#N/A",2021,NA,NA,NA,NA,NA,"Federal Emergency Management Agency","Prevention"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","93.778","553468","0","2,062,807","Pass-Through","County of San Diego","None","Medical Assistance Program","Federal","$0.62","#N/A","None|Medical Assistance Program","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Treasury","21.019","553502","0","10,882","Pass-Through","County of San Diego","None","Coronavirus Relief Fund","Federal","$0.00","#N/A","None|Coronavirus Relief Fund","#N/A",2021,NA,NA,NA,NA,NA,"U.S. Department of Homeland Security","Prevention"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Treasury","21.019","558193","0","4,639","Pass-Through","County of San Diego","None","Coronavirus Relief Fund","Federal","$0.00","#N/A","None|Coronavirus Relief Fund","#N/A",2021,NA,NA,NA,NA,NA,"U.S. Department of State Bureau of Population, Refugees, and Migration","Prevention"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","N/A","0","147,620","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.04","#N/A","None|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"US Department of Agriculture","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","1208L9D011200","0","86,396","Pass Through","San Diego Housing Commission","None","Continuum of Care Program","Federal","$0.03","#N/A","None|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"Corporation for National and Community Service","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA0695L9D011407","0","112,449","Pass Through","Crisis Housing, Inc.","None","Continuum of Care Program","Federal","$0.03","#N/A","None|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"California Department of Housing and Community Development","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA0695L9D011407","0","56,833","Pass Through","Crisis Housing, Inc.","None","Continuum of Care Program","Federal","$0.02","#N/A","None|Continuum of Care Program","#N/A",2017,NA,NA,NA,NA,NA,"Area Agency on Aging – Imperial County Congregate Meals","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA0818L9D011507 ","0","147,620","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.04","#N/A","None|Continuum of Care Program","#N/A",2017,NA,NA,NA,NA,NA,"Area Agency on Aging – Imperial County Home Delivered Meals","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA0818L9D011507 ","0","147,620","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.04","#N/A","None|Continuum of Care Program","#N/A",2018,NA,NA,NA,NA,NA,"Neighborhood Reinvestment Corporation","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1162L9D011403","0","84,140","Pass Through","County of San Diego Housing and Community Development","None","Continuum of Care Program","Federal","$0.03","#N/A","None|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"U.S. Department of Agriculture Food and Nutrition Service","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1208L9D011502","0","100,602","Pass Through","San Diego Housing Commission","None","Continuum of Care Program","Federal","$0.03","#N/A","None|Continuum of Care Program","#N/A",2017,NA,NA,NA,NA,NA,"U.S. Department of Justice","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1508L9D011500","0","423,518","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.13","#N/A","None|Continuum of Care Program","#N/A",2017,NA,NA,NA,NA,NA,"Center for Mental Health Services/SAMHSA","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1508L9D011500","0","214,117","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.06","#N/A","None|Continuum of Care Program","#N/A",2018,NA,NA,NA,NA,NA,"Domestic Violence - Family Violence Prevention","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1508L9D011601","0","353,230","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.11","#N/A","None|Continuum of Care Program","#N/A",2018,NA,NA,NA,NA,NA,"U.S Department of Veterans' Affairs","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1508L9D011702","0","176,938","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.05","#N/A","None|Continuum of Care Program","#N/A",2020,NA,NA,NA,NA,NA,"U.S. Department of Labor","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1508L9D011803","0","344,498","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.10","#N/A","None|Continuum of Care Program","#N/A",2020,NA,NA,NA,NA,NA,"Legal Services Corporation","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1508L9D011803","0","181,099","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.05","#N/A","None|Continuum of Care Program","#N/A",2021,NA,NA,NA,NA,NA,"U.S. Department of Education","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1509L9D011500","0","20,810","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.01","#N/A","None|Continuum of Care Program","#N/A",2018,NA,NA,NA,NA,NA,"Administrative Office of the U.S Courts Office of Probation and Pretrial Services","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1509L9D011601","0","157,364","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.05","#N/A","None|Continuum of Care Program","#N/A",2018,NA,NA,NA,NA,NA,"U.S. Department of Education Office of Special Education and Rehabilitative Services","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1600L9D011600","0","636,781","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.19","#N/A","None|Continuum of Care Program","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1600L9D011802","0","1,226,797","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.37","#N/A","None|Continuum of Care Program","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1600L9D011903","0","1,293,185","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.39","#N/A","None|Continuum of Care Program","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1600L9D011904","0","340,243","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.10","#N/A","None|Continuum of Care Program","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1792L9D011800","0","342,424","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.10","#N/A","None|Continuum of Care Program","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.267","CA1792L9D011901","0","354,571","Direct Program","U.S. Department of Housing and Urban Development:","None","Continuum of Care Program","Federal","$0.11","#N/A","None|Continuum of Care Program","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.218","HHI-19-06","0","191,693","Pass-Through","San Diego Housing Commission","None","Community Development Block Grants/Entitlement Grants","Federal","$0.06","#N/A","None|Community Development Block Grants/Entitlement Grants","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.218","HHI-19-06.2","0","102,486","Pass-Through","San Diego Housing Commission","None","Community Development Block Grants/Entitlement Grants","Federal","$0.03","#N/A","None|Community Development Block Grants/Entitlement Grants","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Treasury","21.019","HHI-19-06.2","0","187,359","Pass-Through","San Diego Housing Commission","None","Coronavirus Relief Fund","Federal","$0.06","#N/A","None|Coronavirus Relief Fund","#N/A",2021,NA,NA,NA,NA,NA,"","Prevention"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.231","HHI-19-06.2","0","281,851","Pass-Through","San Diego Housing Commission","None","Emergency Solutions Grant Program","Federal","$0.09","#N/A","None|Emergency Solutions Grant Program","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.218","None","0","10,889","Pass-Through","City of Vista","None","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","None|Community Development Block Grants/Entitlement Grants","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Health and Human Services","97.024","None","0","117,077","Pass-Through","Catholic Charities, Diocese of San Diego","None","Emergency Food and Shelter National Board Program","Federal","$0.04","#N/A","None|Emergency Food and Shelter National Board Program","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.218","None","0","17,872","Pass-Through","City of Vista","None","Community Development Block Grants/Entitlement Grants","Federal","$0.01","#N/A","None|Community Development Block Grants/Entitlement Grants","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","Federal Emergency Management Agency","97.024","None","0","74,268","Pass-Through","Catholic Charities, Diocese of San Diego","None","Emergency Food and Shelter National Board Program","Federal","$0.02","#N/A","None|Emergency Food and Shelter National Board Program","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.231","SHI-13-12","0","87,934","Pass Through","San Diego Housing Commission","None","Emergency Solutions Grant Program","Federal","$0.03","#N/A","None|Emergency Solutions Grant Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.231","SHI-13-12.3","0","80,634","Pass Through","San Diego Housing Commission","None","Emergency Solutions Grant Program","Federal","$0.02","#N/A","None|Emergency Solutions Grant Program","#N/A",2017,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.218","SHI-13-6","0","179,340","Pass Through","PATH","None","Community Development Block Grants/Entitlement Grants","Federal","$0.05","#N/A","None|Community Development Block Grants/Entitlement Grants","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"AP",330215585,"V8B2JAR7HAX5","U.S. Department of Housing and Urban Development","14.231","SHI-13-6","0","87,934","Pass Through","PATH","None","Emergency Solutions Grant Program","Federal","$0.03","#N/A","None|Emergency Solutions Grant Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"",NA,"","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","Other/Unknown"
