City,City Remapped,Combined,Year,Full Date,ES,TH,SH,Total - Sheltered,Total - Unsheltered,Total PEH,Unsheltered - Chronically Homeless,Unsheltered - Veteran,Unsheltered - Female,Unsheltered - Families,Unsheltered - Youth,Sheltered - Chronically Homeless,Sheltered - Veteran,Sheltered - Female,Sheltered - Families,Sheltered - Youth,Unsheltered - Male,Unsheltered - Female,Unsheltered - Transgender,Unsheltered - Questioning,"Unsheltered - American Indian, Alaska Native, or Indigenous",Unshelthered - Asian or Asian American,"Unsheltered - Black, African American, or African",Unsheltered - Native Hawaiian or Pacific Islander ,Unsheltered - White,Unsheltered - Mulitple Races,"Sheltered - American Indian, Alaska Native, or Indigenous",Sheltered - Asian or Asian American,"Sheltered - Black, African American, or African",Sheltered - Native Hawaiian or Pacific Islander ,Sheltered - White,Sheltered - Multiple Races
Alpine,County of San Diego,Alpine|2022,2022,,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alpine,County of San Diego,Alpine|2020,2020,,0,0,0,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alpine,County of San Diego,Alpine|2019,2019,,#N/A,#N/A,#N/A,0,10,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alpine,County of San Diego,Alpine|2018,2018,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Alpine,County of San Diego,City of Alpine|2017,2017,,#N/A,#N/A,#N/A,#N/A,19,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Alpine,County of San Diego,City of Alpine|2016,2016,,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Alpine,County of San Diego,City of Alpine|2015,2015,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Carlsbad,City of Carlsbad,City of Carlsbad|2022,2022,1/1/22,43,0,0,43,75,118,#N/A,6,21,0,9,,2,suppressed,0,2,72,28,,,0,0,13,0,87,,3,2,16,2,77,
,,,,12/1/21,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11/1/02,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10/1/21,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9/1/21,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8/1/21,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7/1/21,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6/1/21,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5/1/21,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4/1/21,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3/1/21,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2/1/21,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Carlsbad,City of Carlsbad,City of Carlsbad|2021,2021,1/1/21,34,0,0,34,#N/A,34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Carlsbad,City of Carlsbad,City of Carlsbad|2020,2020,,54,0,0,54,94,148,27,5,19,0,3,9,5,0,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Carlsbad,City of Carlsbad,City of Carlsbad|2019,2019,,#N/A,#N/A,#N/A,59,102,161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
